"block","trt","leafn","lma","seedmass","srl","rootdiam","rmf","full","year","water"
33,"fd",1.06095446017445,0.48923807612682,2.34513737914567,1.80697052871232,2.07706075490394,0.309910379187344,8.99706415494541,"2023","0.5"
33,"ir",1.03161021910884,0.260801032156952,2.44175243341016,1.21110071632126,0.775733194934966,0.175494921578473,6.36417792748794,"2023","0.5"
33,"rand",1.12193787138032,0.293876800932517,3.1780175841461,1.18058328772114,1.04665959007443,0.263595192451381,7.49589481650182,"2023","0.5"
34,"dt",1.63303429339926,0.429734522472231,0.0436729969568793,0.589102978200444,0.24118301313287,0.35140891359743,3.623880519412,"2023","0.5"
34,"fd",0.86498804182336,0.230959920667727,1.95223550307569,1.30414355008599,1.01274181387695,0.248013626307123,5.86586023361462,"2023","0.5"
34,"ir",0.326178279904881,0.207687886386138,0.400341237342059,0.172046785291658,0.181769842207672,0.056831641837407,1.52909603578161,"2023","0.5"
34,"rand",0.992499712781501,0.299200778487556,1.55124168857474,0.717166962471633,0.60087640335977,0.25916135074972,4.76147491425757,"2023","0.5"
35,"dt",2.05938279075687,0.600760340417155,1.69486118110583,0.943003909438479,0.783592894055046,0.400962531239554,6.9573627704607,"2023","0.5"
35,"fd",1.72475699911475,0.398560961391095,3.2070198963439,1.32783836868995,1.06780224013326,0.625058903950952,8.61526178157559,"2023","0.5"
35,"ir",1.32288399367814,0.338470236637888,2.73279550253653,1.28553682281123,0.941039499827538,0.22835057528004,7.59088852980982,"2023","0.5"
35,"rand",0.892680901375084,0.298516981289626,1.8778593463005,0.961390279359199,0.541703117188956,0.149501281782211,4.8118830539898,"2023","0.5"
36,"dt",0.996822380707489,0.225372173001978,0.136120421686917,0.489833423709406,0.0118307054087362,0.0754834612180885,2.64891814424501,"2023","0.5"
36,"ir",0.85279186460754,0.573692624241825,0.0968792968505783,0.497897098685108,0.0370457816794714,0.0981001099555483,2.88737563415156,"2023","0.5"
36,"rand",0.46580630472312,0.126750381682751,0.0805171575829354,0.385807489469998,0.0509205933784235,0.122027042378921,1.38547302650426,"2023","0.5"
37,"dt",0.909257196424443,0.178133314890608,0.191662208875322,0.516676958850956,0.149303490384334,0.208761008149311,2.15379417757497,"2023","0.5"
37,"fd",0.863048408932531,0.203812949975157,0.0495545873041503,0.412961937724285,0.0877380425362094,0.241987181972433,2.04099243775426,"2023","0.5"
37,"ir",0.549269363059992,0.178284830864965,0.0452444870485257,0.294905150406962,0.053770304691052,0.187423796391773,1.43841127626233,"2023","0.5"
37,"rand",0.698323975462054,0.162063401747144,0.0672851056070046,0.365245625108415,0.0671834801451052,0.142030026382857,1.73342178892457,"2023","0.5"
38,"dt",0.914437094174625,0.225074976666296,0.362468030656822,0.525572932363845,0.182629076996639,0.103919520478346,2.31410163133657,"2023","0.5"
38,"fd",1.04477339228589,0.489094583610924,0.0795905058916604,0.472627983302749,0.0686776289658475,0.294709376649374,2.88555985339885,"2023","0.5"
38,"ir",0.89760603801943,0.312093916239784,0.151371180387177,0.593452034505457,0.188483076862319,0.0785949870138535,3.23701291124688,"2023","0.5"
38,"rand",0.995332053864019,0.363073099836962,0.149561603454775,0.69936566461849,0.172666570490384,0.070706482650604,3.0089827212795,"2023","0.5"
39,"dt",0.573504051618245,0.27837597016997,0.125908392120723,0.365146393735707,0.0337845887688456,0.16327284517698,2.17100185697509,"2023","0.5"
