"trt.b.y","distdt","distir","distfd","distr","targetdist"
"rand.32.2021",1.43190644205883,1.81179776641271,0.672361010705462,1.06791124160468,1.06791124160468
"rand.32.2022",0.986236705017491,0.812769488004466,0.397166935790694,1.98880359742175,1.98880359742175
"rand.32.2023",1.47924863828998,1.02032228263294,0.48412460183042,1.8347372287375,1.8347372287375
"rand.33.2021",1.25326354459665,1.9134879422707,0.7717467329628,0.879436688322501,0.879436688322501
"rand.33.2022",0.829401463016206,2.03300381534407,0.355683304898162,1.13459003427255,1.13459003427255
"rand.33.2023",0.689136474088947,1.72052841030311,0.133531779976407,2.84046746871709,2.84046746871709
"rand.34.2021",1.60188902060504,1.86755797833558,0.601430497554587,2.00192262744471,2.00192262744471
"rand.34.2022",0.954887231895517,0.906890030996382,0.369924032936453,2.00061339666057,2.00061339666057
"rand.34.2023",1.08250213839844,0.806931427884949,0.372204344369937,1.65697175925292,1.65697175925292
"rand.35.2021",0.447740114544095,0.962187819291141,0.561557977296501,1.2569980241786,1.2569980241786
"rand.35.2022",0.757294352774072,0.82660673405445,0.457170100837319,1.95682845808181,1.95682845808181
"rand.35.2023",1.01612228168127,0.702091097876299,0.367804493430319,1.7144699041895,1.7144699041895
"rand.36.2021",1.39524313506287,2.20478801683406,0.5859122935882,1.2305174007612,1.2305174007612
"rand.36.2022",1.11909861073124,0.889562902800128,0.488464112866646,1.51237696720271,1.51237696720271
"rand.36.2023",1.47261881051616,0.635255555807075,0.66687709279682,3.11768015037003,3.11768015037003
"rand.37.2021",0.997359045129228,1.31133523003667,0.736265685375614,0.993464252045765,0.993464252045765
"rand.37.2022",1.12119007596423,0.617854396630096,0.616856459017818,2.12910179654254,2.12910179654254
