"trt.b.y","distdt","distir","distfd","distr","targetdist"
"fd.7.2022",1.13154170113755,0.426474863699336,0.0752367831001255,2.25556314385522,0.0752367831001255
"fd.7.2023",3.22030266515274,2.57543454353139,0.417007981725031,2.21417411537367,0.417007981725031
"fd.8.2021",3.28969649772364,2.66949371871246,0.439405987074301,1.94165544241149,0.439405987074301
"fd.8.2022",0.837588226260733,1.46752496842724,0.288523554711622,2.55352001494555,0.288523554711622
"fd.8.2023",1.57028322779664,2.04422886648461,0.353470143173585,1.17358705321453,0.353470143173585
"fd.9.2021",1.18215053803352,1.42968710876075,0.359954114898171,1.43882332120483,0.359954114898171
"fd.9.2022",0.574348482167911,1.03800327421735,0.381529523856521,3.20346457827578,0.381529523856521
"fd.9.2023",1.7721328771856,2.03066435358552,0.335542758410087,0.671806954409364,0.335542758410087
"ir.1.2021",1.53949805111478,0.688564148041694,0.408969007234665,1.025668496754,0.688564148041694
"ir.1.2022",0.559837394659131,1.16502097556507,0.429130458644652,1.94426387573456,1.16502097556507
"ir.1.2023",0.637619147691465,1.06004348535692,0.425888330653132,1.39989623913342,1.06004348535692
"ir.10.2021",2.12338659821743,1.56152510199826,0.324416672492116,1.36617478598496,1.56152510199826
"ir.10.2022",0.938450565795486,1.82058482485937,0.492915374197774,2.21567175606245,1.82058482485937
"ir.10.2023",0.798875338951516,1.45699616071587,0.509267929674733,1.63827246929578,1.45699616071587
"ir.11.2021",2.02466246529202,1.67696098514,0.516354349070955,1.40253171190512,1.67696098514
"ir.11.2022",0.699437386858632,1.5469895841775,0.192603981892971,1.49950446566045,1.5469895841775
"ir.11.2023",2.34572315424488,2.11663529517695,0.497914448261204,1.96212169899585,2.11663529517695
"ir.12.2021",2.46808233250925,1.44398716286787,0.752096075518009,2.23463886999608,1.44398716286787
"ir.12.2023",1.62392296814809,2.24333654960239,0.460806586366956,1.652761334917,2.24333654960239
"ir.13.2021",1.38269007383781,1.33995681151212,0.482537933542761,0.814881606529477,1.33995681151212
"ir.13.2022",0.666021467477827,1.05355004993629,0.421065107863457,3.54220847356271,1.05355004993629
"ir.13.2023",0.603538374870453,1.11440485534811,0.530118137755967,1.61261166939936,1.11440485534811
"ir.14.2021",1.70446910051556,1.39885467649881,0.352837646520409,1.19363467267282,1.39885467649881
"ir.14.2022",0.657580344881422,1.3866319494239,0.348255630016379,2.49701448564174,1.3866319494239
"ir.14.2023",1.8122289206508,1.98226932624072,0.108513990861179,1.82301849060799,1.98226932624072
"ir.15.2021",2.29463293277467,1.13903224097712,0.716309373097683,1.90299540758056,1.13903224097712
"ir.15.2022",1.10275820473609,1.23461395373706,0.292979663564624,1.6726552906008,1.23461395373706
"ir.15.2023",1.43006110909175,1.5691118709778,0.408415363325188,1.47417142218829,1.5691118709778
