"","trt.b.sub.y","dist"
"53","dt.17.s.2022",0.40044039874652
"54","dt.17.s.2023",0.393290878192942
"55","dt.18.n.2021",0.189677184896488
"56","dt.18.n.2022",0.273483616504219
"57","dt.18.n.2023",0.323043460659594
"58","dt.18.s.2021",0.132263336953323
"59","dt.18.s.2022",0.280293589765503
"60","dt.18.s.2023",0.574432160690365
"61","dt.19.n.2021",0.110759165083391
"62","dt.19.n.2022",0.268137656281191
"63","dt.19.n.2023",0.260256738529851
"64","dt.19.s.2021",0.188192535809641
"65","dt.19.s.2022",0.310709753859066
"66","dt.19.s.2023",0.229417601979737
"67","dt.2.n.2021",0.198651849922529
"68","dt.2.n.2022",0.141223402060446
"69","dt.2.n.2023",0.242892556907172
"70","dt.2.s.2021",0.215361027228577
"71","dt.2.s.2022",0.249267771275422
"72","dt.2.s.2023",0.221240685025572
"73","dt.20.n.2021",0.172564439881224
"74","dt.20.n.2022",0.297063832261114
"75","dt.20.n.2023",0.221161800048898
"76","dt.20.s.2021",0.121576064903072
"77","dt.20.s.2022",0.301418755522209
"78","dt.20.s.2023",0.292227242400441
"79","dt.21.n.2021",0.310951872482578
"80","dt.21.n.2022",0.402929734821118
"81","dt.21.n.2023",0.369482658998584
"82","dt.21.s.2021",0.32632179454207
"83","dt.21.s.2022",0.404046001155188
"84","dt.21.s.2023",0.389987273533768
"85","dt.22.n.2021",0.1701423207265
"86","dt.22.n.2022",0.302029762257473
"87","dt.22.n.2023",0.365048069023414
"88","dt.22.s.2021",0.100609242058865
"89","dt.22.s.2022",0.179699616414228
"90","dt.22.s.2023",0.494069654764763
"91","dt.23.n.2021",0.28951869945393
"92","dt.23.n.2022",0.351750439002575
"93","dt.23.n.2023",0.318078174790707
"94","dt.23.s.2021",0.252042140734397
"95","dt.23.s.2022",0.393032555528152
"96","dt.23.s.2023",0.380587008597812
"97","dt.24.n.2021",0.351382053847448
"98","dt.24.n.2022",0.284034740200167
"99","dt.24.n.2023",0.821434699621233
"100","dt.24.s.2021",0.38691969674599
"101","dt.24.s.2022",0.266833872394023
"102","dt.24.s.2023",0.665268881577957
"103","dt.25.n.2021",0.241482465643775
"104","dt.25.n.2022",0.345471827793151
"105","dt.25.n.2023",0.291060634108103
"106","dt.25.s.2021",0.225273898785578
"107","dt.25.s.2022",0.299491733214203
"108","dt.25.s.2023",0.266833212554807
"109","dt.26.n.2021",0.199251952005675
"110","dt.26.n.2022",0.371518292052336
"111","dt.26.n.2023",0.361037245913311
"112","dt.26.s.2021",0.174105028182469
"113","dt.26.s.2022",0.404046001155188
"114","dt.26.s.2023",0.320623102275116
"115","dt.27.n.2021",0.141958514129953
"116","dt.27.n.2022",0.269623000402602
"117","dt.27.n.2023",0.195898081828215
"118","dt.27.s.2021",0.114864718266228
"119","dt.27.s.2022",0.339940400927019
"120","dt.27.s.2023",0.217577958957682
"121","dt.28.n.2021",0.174671886418275
"122","dt.28.n.2022",0.242690829046506
"123","dt.28.n.2023",0.20836774648223
"124","dt.28.s.2021",0.160635823186124
"125","dt.28.s.2022",0.130939187301448
"126","dt.28.s.2023",0.210367295223577
"127","dt.29.n.2021",0.261215719991509
"128","dt.29.n.2022",0.307022905834092
"129","dt.29.n.2023",0.361770164527492
"130","dt.29.s.2021",0.225084584549379
"131","dt.29.s.2022",0.383934975148746
"132","dt.29.s.2023",0.445074324409653
"133","dt.3.n.2021",0.242196483078504
"134","dt.3.n.2022",0.678636393470877
"135","dt.3.n.2023",0.618280758293144
"136","dt.3.s.2021",0.238780018785253
"137","dt.3.s.2022",0.26715456449995
"138","dt.3.s.2023",0.456487718757992
"139","dt.30.n.2021",0.322814480974495
